2026-07-17 12:47:30,231 | INFO     | req=- | user=- | ai_document_search:log_startup:38 | Application startup: AI Document Search (environment=development, log_level=DEBUG)
2026-07-17 12:47:43,214 | INFO     | req=- | user=- | ai_document_search:log_shutdown:51 | Application shutdown: AI Document Search
2026-07-17 12:47:50,431 | INFO     | req=- | user=- | ai_document_search:log_startup:38 | Application startup: AI Document Search (environment=development, log_level=DEBUG)
2026-07-17 12:48:07,448 | INFO     | req=- | user=- | ai_document_search:log_shutdown:51 | Application shutdown: AI Document Search
2026-07-17 12:48:14,813 | INFO     | req=- | user=- | ai_document_search:log_startup:38 | Application startup: AI Document Search (environment=development, log_level=DEBUG)
2026-07-17 12:48:14,930 | INFO     | req=- | user=- | ai_document_search:log_shutdown:51 | Application shutdown: AI Document Search
2026-07-17 12:48:22,343 | INFO     | req=- | user=- | ai_document_search:log_startup:38 | Application startup: AI Document Search (environment=development, log_level=DEBUG)
2026-07-17 12:48:22,465 | INFO     | req=- | user=- | ai_document_search:log_shutdown:51 | Application shutdown: AI Document Search
2026-07-17 12:48:29,649 | INFO     | req=- | user=- | ai_document_search:log_startup:38 | Application startup: AI Document Search (environment=development, log_level=DEBUG)
2026-07-17 12:48:29,766 | INFO     | req=- | user=- | ai_document_search:log_shutdown:51 | Application shutdown: AI Document Search
2026-07-17 12:48:36,948 | INFO     | req=- | user=- | ai_document_search:log_startup:38 | Application startup: AI Document Search (environment=development, log_level=DEBUG)
2026-07-17 12:48:37,063 | INFO     | req=- | user=- | ai_document_search:log_shutdown:51 | Application shutdown: AI Document Search
2026-07-17 12:48:44,607 | INFO     | req=- | user=- | ai_document_search:log_startup:38 | Application startup: AI Document Search (environment=development, log_level=DEBUG)
2026-07-17 12:48:48,198 | INFO     | req=- | user=- | ai_document_search:log_shutdown:51 | Application shutdown: AI Document Search
2026-07-17 12:48:55,279 | INFO     | req=- | user=- | ai_document_search:log_startup:38 | Application startup: AI Document Search (environment=development, log_level=DEBUG)
2026-07-17 12:48:58,897 | INFO     | req=- | user=- | ai_document_search:log_shutdown:51 | Application shutdown: AI Document Search
2026-07-17 12:49:06,593 | INFO     | req=- | user=- | ai_document_search:log_startup:38 | Application startup: AI Document Search (environment=development, log_level=DEBUG)
2026-07-17 12:49:06,698 | INFO     | req=- | user=- | ai_document_search:log_shutdown:51 | Application shutdown: AI Document Search
2026-07-17 12:49:14,195 | INFO     | req=- | user=- | ai_document_search:log_startup:38 | Application startup: AI Document Search (environment=development, log_level=DEBUG)
2026-07-17 12:49:14,304 | INFO     | req=- | user=- | ai_document_search:log_shutdown:51 | Application shutdown: AI Document Search
2026-07-17 12:49:21,783 | INFO     | req=- | user=- | ai_document_search:log_startup:38 | Application startup: AI Document Search (environment=development, log_level=DEBUG)
2026-07-17 12:49:21,885 | INFO     | req=- | user=- | ai_document_search:log_shutdown:51 | Application shutdown: AI Document Search
2026-07-17 12:49:29,098 | INFO     | req=- | user=- | ai_document_search:log_startup:38 | Application startup: AI Document Search (environment=development, log_level=DEBUG)
2026-07-17 12:49:29,214 | INFO     | req=- | user=- | ai_document_search:log_shutdown:51 | Application shutdown: AI Document Search
